Player,Tm,POS,AGE,GP,MPG,MIN,USG,TO,FTA,FT,2PA,PP,3PA,PPP,eFG,TS,PPG,RPG,TRB,APG,AST,SPG,BPG,TOPG,VI,ORTG,DRTG
Mike Scott,PHI,PF,32.83,51,16.7,34.8,11.9,8.1,12,0.667,56,0.411,155,0.342,0.486,0.492,4.2,2.4,7.8,0.8,6.1,0.47,0.27,0.37,4.8,101,103.5
Ben Simmons,PHI,PF,24.82,58,32.4,67.4,20.2,19.6,287,0.613,573,0.562,10,0.3,0.56,0.584,14.3,7.2,12.2,6.9,31.3,1.6,0.6,2.98,11,114,100.2
Matisse Thybulle,PHI,SF,24.2,65,20,41.6,9.4,11.3,18,0.444,100,0.59,143,0.301,0.508,0.508,3.9,1.9,5.3,1,6.3,1.62,1.09,0.49,3.9,103.6,100.2
Anthony Tolliver,PHI,PF,35.96,11,9,18.8,9.8,13.3,6,0.833,3,0,14,0.286,0.353,0.433,1.5,0.9,5.6,0.2,2.5,0.27,0.18,0.27,2.9,90.7,106.3
Rayjon Tucker,PHI,SF,23.64,14,4.9,10.1,19.2,13.2,19,0.737,11,0.636,7,0.286,0.556,0.645,2.4,0.8,8.9,0.4,12.2,0.14,0,0.29,7.5,122.7,99.4
Ty-Shon Alexander,PHO,SG,22.84,15,3.2,6.6,14.9,18.9,2,0.5,3,0.333,9,0.222,0.333,0.349,0.6,0.7,11.9,0.4,15.2,0,0.07,0.2,6.9,,
Deandre Ayton,PHO,PF,22.82,69,30.6,63.8,18.2,11.8,173,0.769,667,0.639,20,0.2,0.629,0.653,14.4,10.5,19.5,1.4,6.8,0.59,1.17,1.48,7.8,127.1,102.8
Devin Booker,PHO,SG,24.54,67,33.9,70.6,32.7,12.4,392,0.867,916,0.543,371,0.34,0.533,0.587,25.6,4.2,7,4.3,20.6,0.79,0.24,3.09,9.1,110.1,107.6
Mikal Bridges,PHO,SF,24.71,72,32.6,67.9,14.9,7.4,131,0.84,353,0.649,315,0.425,0.644,0.668,13.5,4.3,7.4,2.1,8.8,1.06,0.88,0.81,6.1,131,110.7
Jevon Carter,PHO,PG,25.67,60,11.9,24.9,15,6.6,7,0.571,72,0.528,151,0.371,0.547,0.548,4.1,1.5,7.3,1.2,13,0.48,0.15,0.27,6.5,115.1,106.7
